ORDERID,ORDERDATE,SHIPDATE,SHIPMODE,CUSTOMERID,PRODUCTID,ORDERCOSTPRICE,ORDERSELLINGPRICE
5273,2022/01/16,2022/01/16,Same Day,JO-15145,FUR-TA-10001520,360,400.0
5274,2021/11/26,2021/11/29,First Class,PA-19060,OFF-BI-10000145,2,4.0
5275,2020/11/07,2020/11/09,Second Class,SV-20785,FUR-CH-10000595,358,715.0
5276,2022/12/14,2022/12/20,Standard Class,KL-16555,TEC-AC-10004469,128,160.0
5277,2022/12/14,2022/12/20,Standard Class,KL-16555,TEC-AC-10003038,36,45.0
5278,2019/09/13,2019/09/17,Standard Class,BC-11125,FUR-CH-10004698,238,340.0
5279,2019/12/07,2019/12/13,Standard Class,PO-18850,OFF-PA-10003641,95,106.0
5280,2022/09/07,2022/09/11,Standard Class,AG-10675,TEC-AC-10002134,12,13.0
5281,2022/10/07,2022/10/12,Standard Class,DB-13210,OFF-ST-10001837,43,86.0
5282,2020/09/05,2020/09/10,Standard Class,SP-20860,FUR-FU-10001706,4,6.0
5283,2020/09/05,2020/09/10,Standard Class,SP-20860,OFF-PA-10001970,33,37.0
5284,2019/03/30,2019/04/04,Standard Class,Dl-13600,OFF-ST-10002957,11,16.0
5285,2019/03/30,2019/04/04,Standard Class,Dl-13600,OFF-LA-10002312,31,44.0
5286,2022/05/05,2022/05/06,First Class,LH-17020,OFF-EN-10002600,11,21.0
5287,2022/05/05,2022/05/06,First Class,LH-17020,OFF-BI-10003274,7,10.0
5288,2022/05/05,2022/05/06,First Class,LH-17020,FUR-BO-10004467,45,90.0
5289,2022/04/30,2022/05/05,Standard Class,AD-10180,OFF-PA-10000675,82,164.0
5290,2019/09/08,2019/09/15,Standard Class,KT-16465,OFF-PA-10002259,14,18.0
5291,2019/09/08,2019/09/15,Standard Class,KT-16465,FUR-CH-10004287,483,967.0
5292,2019/09/08,2019/09/15,Standard Class,KT-16465,OFF-PA-10000482,164,182.0
5293,2022/06/20,2022/06/23,First Class,PJ-19015,OFF-ST-10004835,2,4.0
5294,2020/12/26,2020/12/30,Standard Class,MC-18100,FUR-TA-10004086,46,52.0
5295,2022/08/15,2022/08/19,Standard Class,BO-11350,OFF-LA-10000305,30,50.0
5296,2022/03/04,2022/03/09,Standard Class,DP-13000,OFF-PA-10000806,63,90.0
5297,2022/07/27,2022/07/31,Standard Class,TM-21490,FUR-FU-10004018,9,15.0
5298,2022/07/27,2022/07/31,Standard Class,TM-21490,TEC-PH-10002660,381,544.0
5299,2021/09/23,2021/09/26,First Class,DV-13045,OFF-EN-10001509,4,4.0
5300,2021/09/23,2021/09/26,First Class,DV-13045,OFF-LA-10003148,15,19.0
5301,2021/05/30,2021/06/03,Standard Class,AH-10690,FUR-TA-10002645,1138,2276.0
5302,2021/05/30,2021/06/03,Standard Class,AH-10690,TEC-AC-10003033,1188,1980.0
5303,2021/05/30,2021/06/03,Standard Class,AH-10690,OFF-LA-10001297,43,62.0
5304,2019/11/16,2019/11/20,Standard Class,AB-10165,FUR-CH-10002017,26,37.0
5305,2019/09/21,2019/09/23,First Class,JS-15940,FUR-FU-10001546,7,9.0
5306,2021/02/21,2021/02/26,Standard Class,BV-11245,FUR-FU-10000629,48,69.0
5307,2021/02/21,2021/02/26,Standard Class,BV-11245,OFF-ST-10000036,148,296.0
5308,2021/02/21,2021/02/26,Standard Class,BV-11245,TEC-PH-10002583,20,40.0
5309,2022/11/19,2022/11/21,First Class,NC-18415,FUR-CH-10003774,115,191.0
5310,2022/11/19,2022/11/21,First Class,NC-18415,OFF-AR-10003876,10,13.0
5311,2022/11/19,2022/11/21,First Class,NC-18415,OFF-BI-10003527,763,1525.0
5312,2021/08/21,2021/08/27,Standard Class,SU-20665,OFF-LA-10004559,7,9.0
5313,2021/08/21,2021/08/27,Standard Class,SU-20665,OFF-SU-10002573,17,28.0
5314,2022/04/30,2022/05/05,Standard Class,DJ-13510,FUR-FU-10000222,45,65.0
5315,2022/04/30,2022/05/05,Standard Class,DJ-13510,OFF-EN-10001219,18,31.0
5316,2021/05/02,2021/05/08,Standard Class,DL-12865,FUR-CH-10002304,131,187.0
5317,2022/10/02,2022/10/05,First Class,Dp-13240,FUR-FU-10002364,9,12.0
5318,2022/10/02,2022/10/05,First Class,Dp-13240,FUR-FU-10004864,9,10.0
5319,2022/10/02,2022/10/05,First Class,Dp-13240,OFF-PA-10003172,10,21.0
5320,2022/10/02,2022/10/05,First Class,Dp-13240,OFF-BI-10000977,19,27.0
5321,2022/10/02,2022/10/05,First Class,Dp-13240,FUR-TA-10000198,1157,2314.0
5322,2022/10/02,2022/10/05,First Class,Dp-13240,OFF-BI-10003984,31,34.0
5323,2022/10/02,2022/10/05,First Class,Dp-13240,FUR-FU-10003691,16,20.0
5324,2022/09/18,2022/09/23,Second Class,TM-21010,OFF-PA-10004082,14,16.0
5325,2020/12/04,2020/12/09,Standard Class,TZ-21580,OFF-AR-10003723,14,17.0
5326,2020/12/04,2020/12/09,Standard Class,TZ-21580,FUR-FU-10004270,15,25.0
5327,2020/01/17,2020/01/22,Standard Class,SC-20260,OFF-AR-10003183,4,7.0
5328,2019/01/06,2019/01/08,Second Class,LS-17230,OFF-PA-10002005,16,19.0
5329,2020/03/05,2020/03/09,Standard Class,MV-18190,TEC-PH-10000149,16,32.0
5330,2021/12/25,2021/12/28,Second Class,BD-11620,OFF-BI-10001524,20,34.0
5331,2021/09/04,2021/09/08,Standard Class,CV-12295,FUR-FU-10004748,38,64.0
5332,2021/09/04,2021/09/08,Standard Class,CV-12295,OFF-BI-10001460,55,61.0
5333,2021/09/04,2021/09/08,Standard Class,CV-12295,OFF-SU-10002503,11,23.0
5334,2019/08/26,2019/09/01,Standard Class,KB-16315,FUR-FU-10001731,6,11.0
5335,2019/08/26,2019/09/01,Standard Class,KB-16315,OFF-PA-10002160,9,17.0
5336,2019/08/26,2019/09/01,Standard Class,KB-16315,OFF-PA-10002659,2,3.0
5337,2020/05/21,2020/05/25,Standard Class,ME-18010,OFF-BI-10001636,22,27.0
5338,2022/10/16,2022/10/21,Standard Class,AJ-10780,OFF-PA-10000062,246,308.0
5339,2020/11/09,2020/11/14,Second Class,DV-13465,OFF-ST-10002554,147,245.0
5340,2020/11/09,2020/11/14,Second Class,DV-13465,OFF-EN-10001509,7,12.0
5341,2020/11/09,2020/11/14,Second Class,DV-13465,TEC-AC-10002018,13,14.0
5342,2020/11/09,2020/11/14,Second Class,DV-13465,TEC-AC-10002637,450,900.0
5343,2019/11/21,2019/11/27,Standard Class,JK-15325,OFF-EN-10001509,1,2.0
5344,2019/11/21,2019/11/27,Standard Class,JK-15325,TEC-PH-10004922,188,268.0
5345,2020/10/11,2020/10/13,Second Class,SH-20395,TEC-AC-10002550,22,32.0
5346,2022/03/21,2022/03/23,Second Class,SC-20725,OFF-ST-10003208,436,726.0
5347,2022/03/21,2022/03/23,Second Class,SC-20725,OFF-BI-10003981,5,11.0
5348,2022/03/21,2022/03/23,Second Class,SC-20725,OFF-BI-10001031,8,9.0
5349,2020/01/04,2020/01/10,Standard Class,CS-12250,OFF-BI-10003676,19,32.0
5350,2020/01/04,2020/01/10,Standard Class,CS-12250,OFF-PA-10004082,32,40.0
5351,2022/12/09,2022/12/16,Standard Class,LH-16900,OFF-PA-10001019,115,144.0
5352,2021/09/06,2021/09/12,Standard Class,YC-21895,OFF-PA-10004665,34,42.0
5353,2021/09/06,2021/09/12,Standard Class,YC-21895,TEC-PH-10002447,165,330.0
5354,2021/09/03,2021/09/06,First Class,CY-12745,OFF-BI-10000014,79,87.0
5355,2019/05/13,2019/05/19,Standard Class,AH-10030,FUR-CH-10002439,196,279.0
5356,2019/05/13,2019/05/19,Standard Class,AH-10030,OFF-PA-10003063,6,8.0
5357,2021/09/29,2021/10/03,Standard Class,AR-10540,OFF-BI-10002982,25,27.0
5358,2019/08/05,2019/08/11,Standard Class,SS-20590,TEC-AC-10004510,13,16.0
5359,2019/08/05,2019/08/11,Standard Class,SS-20590,OFF-ST-10000321,8,16.0
5360,2019/08/05,2019/08/11,Standard Class,SS-20590,OFF-AR-10004602,28,46.0
5361,2022/04/14,2022/04/18,Standard Class,DW-13585,FUR-BO-10003433,159,198.0
5362,2022/06/09,2022/06/10,First Class,NC-18625,OFF-ST-10001496,649,721.0
5363,2021/12/29,2022/01/02,Standard Class,CD-11920,FUR-FU-10000672,56,71.0
5364,2021/12/29,2022/01/02,Standard Class,CD-11920,OFF-AP-10001293,66,82.0
5365,2019/01/18,2019/01/21,Second Class,DW-13195,OFF-AP-10000692,45,65.0
5366,2021/11/20,2021/11/24,Standard Class,EH-13990,TEC-PH-10004539,136,151.0
5367,2022/06/10,2022/06/15,Standard Class,BD-11320,TEC-PH-10002923,80,89.0
5368,2022/06/10,2022/06/15,Standard Class,BD-11320,OFF-LA-10004689,7,12.0
5369,2022/06/10,2022/06/15,Standard Class,BD-11320,OFF-ST-10001228,8,16.0
5370,2022/09/10,2022/09/13,First Class,KH-16630,OFF-PA-10003302,60,85.0
5371,2022/04/08,2022/04/12,Standard Class,NH-18610,FUR-FU-10004665,219,274.0
5372,2022/04/08,2022/04/12,Standard Class,NH-18610,FUR-FU-10004188,276,307.0
5373,2020/10/24,2020/10/30,Standard Class,AG-10495,OFF-PA-10003177,11,16.0
5374,2020/10/24,2020/10/30,Standard Class,AG-10495,FUR-TA-10002607,208,347.0
5375,2020/10/24,2020/10/30,Standard Class,AG-10495,OFF-PA-10001166,9,10.0
5376,2022/05/27,2022/05/31,Standard Class,RP-19855,TEC-AC-10004510,79,98.0
5377,2022/05/27,2022/05/31,Standard Class,RP-19855,OFF-AR-10004062,16,31.0
5378,2019/12/05,2019/12/07,First Class,NB-18655,OFF-EN-10000056,314,348.0
5379,2019/12/05,2019/12/07,First Class,NB-18655,OFF-ST-10001469,121,173.0
5380,2021/08/14,2021/08/18,Standard Class,JM-15580,OFF-PA-10000551,8,16.0
5381,2021/08/14,2021/08/18,Standard Class,JM-15580,TEC-MA-10000423,53,106.0
5382,2021/09/05,2021/09/07,Second Class,DM-13525,OFF-PA-10001870,21,26.0
5383,2021/09/05,2021/09/07,Second Class,DM-13525,OFF-FA-10001843,8,16.0
5384,2021/09/05,2021/09/07,Second Class,DM-13525,OFF-PA-10002036,6,10.0
5385,2022/06/26,2022/07/03,Standard Class,CC-12220,TEC-PH-10001760,251,358.0
5386,2022/06/26,2022/07/03,Standard Class,CC-12220,TEC-PH-10000673,328,546.0
5387,2022/03/12,2022/03/17,Standard Class,GA-14725,OFF-BI-10000829,28,40.0
5388,2022/02/18,2022/02/21,Second Class,CV-12805,TEC-PH-10001924,151,168.0
5389,2022/02/18,2022/02/21,Second Class,CV-12805,TEC-AC-10004864,88,110.0
5390,2022/02/18,2022/02/21,Second Class,CV-12805,OFF-LA-10004345,6,10.0
5391,2022/11/10,2022/11/12,Second Class,NC-18535,OFF-BI-10000088,16,26.0
5392,2019/11/19,2019/11/25,Standard Class,GR-14560,OFF-LA-10002787,11,23.0
5393,2019/11/19,2019/11/25,Standard Class,GR-14560,OFF-LA-10001569,9,10.0
5394,2019/11/19,2019/11/25,Standard Class,GR-14560,OFF-BI-10002429,192,213.0
5395,2019/11/19,2019/11/25,Standard Class,GR-14560,FUR-BO-10000362,513,1026.0
5396,2019/11/18,2019/11/21,Second Class,JG-15805,OFF-PA-10003016,20,22.0
5397,2021/09/24,2021/09/24,Same Day,EB-13750,FUR-FU-10002501,38,63.0
5398,2021/11/20,2021/11/27,Standard Class,MC-17605,OFF-AP-10003622,27,39.0
5399,2021/09/27,2021/10/02,Standard Class,BM-11650,OFF-BI-10002764,1,3.0
5400,2021/04/09,2021/04/14,Standard Class,HF-14995,FUR-BO-10001798,334,557.0
5401,2022/09/21,2022/09/23,First Class,ML-18265,TEC-AC-10000158,65,72.0
5402,2022/09/21,2022/09/23,First Class,ML-18265,TEC-AC-10000303,40,80.0
5403,2022/08/24,2022/08/29,Standard Class,AH-10195,OFF-BI-10003910,12,25.0
5404,2022/08/24,2022/08/29,Standard Class,AH-10195,OFF-BI-10000138,3,4.0
5405,2021/02/22,2021/02/26,Standard Class,TZ-21580,TEC-PH-10002398,401,446.0
5406,2021/02/22,2021/02/26,Standard Class,TZ-21580,TEC-AC-10003399,25,36.0
5407,2021/02/22,2021/02/26,Standard Class,TZ-21580,OFF-FA-10000992,5,11.0
5408,2022/12/08,2022/12/14,Standard Class,DM-13345,OFF-PA-10003022,79,88.0
5409,2022/12/08,2022/12/14,Standard Class,DM-13345,OFF-BI-10002854,13,22.0
5410,2022/12/08,2022/12/14,Standard Class,DM-13345,OFF-BI-10001670,81,90.0
5411,2022/12/08,2022/12/14,Standard Class,DM-13345,OFF-ST-10001837,26,43.0
5412,2022/09/18,2022/09/22,Standard Class,TS-21505,OFF-BI-10002012,9,10.0
5413,2022/09/18,2022/09/22,Standard Class,TS-21505,TEC-AC-10004992,91,101.0
5414,2021/09/11,2021/09/14,First Class,TB-21625,TEC-PH-10003171,112,225.0
5415,2022/09/23,2022/09/28,Standard Class,LC-16870,OFF-AP-10000390,37,73.0
5416,2022/09/23,2022/09/28,Standard Class,LC-16870,OFF-PA-10004888,10,21.0
5417,2022/09/23,2022/09/28,Standard Class,LC-16870,TEC-PH-10004188,32,40.0
5418,2019/10/06,2019/10/08,Second Class,AM-10360,OFF-BI-10004099,11,15.0
5419,2020/10/23,2020/10/26,First Class,JE-15715,OFF-PA-10004621,18,36.0
5420,2020/10/23,2020/10/26,First Class,JE-15715,TEC-PH-10002103,135,150.0
5421,2021/03/31,2021/04/02,Second Class,CS-11950,TEC-PH-10002789,140,281.0
5422,2021/03/31,2021/04/02,Second Class,CS-11950,TEC-AC-10003289,22,32.0
5423,2021/12/29,2022/01/02,Standard Class,PF-19225,OFF-BI-10000138,9,11.0
5424,2022/11/03,2022/11/05,Second Class,PJ-18835,OFF-PA-10001215,18,26.0
5425,2022/01/20,2022/01/26,Standard Class,JF-15490,OFF-AR-10001545,3,4.0
5426,2021/12/03,2021/12/06,First Class,NM-18520,TEC-AC-10003870,1485,1650.0
5427,2021/12/03,2021/12/06,First Class,NM-18520,FUR-FU-10001085,56,112.0
5428,2021/06/14,2021/06/14,Same Day,MH-17290,FUR-BO-10004218,479,599.0
5429,2021/09/02,2021/09/04,First Class,SZ-20035,OFF-ST-10003455,33,47.0
5430,2019/09/05,2019/09/07,First Class,PR-18880,FUR-FU-10001967,29,32.0
5431,2022/10/21,2022/10/25,Standard Class,FC-14245,OFF-AP-10000938,129,162.0
5432,2022/10/21,2022/10/25,Standard Class,FC-14245,OFF-PA-10002195,3,4.0
5433,2022/10/21,2022/10/25,Standard Class,FC-14245,OFF-BI-10002799,4,6.0
5434,2022/04/25,2022/04/29,Standard Class,LH-16750,OFF-AR-10000246,5,9.0
5435,2020/10/19,2020/10/24,Standard Class,RM-19675,OFF-AP-10000275,1477,1641.0
5436,2020/10/19,2020/10/24,Standard Class,RM-19675,TEC-AC-10000892,162,270.0
5437,2019/07/05,2019/07/08,First Class,DM-13525,FUR-FU-10001591,12,20.0
5438,2019/07/05,2019/07/08,First Class,DM-13525,OFF-BI-10001787,5,10.0
5439,2019/07/05,2019/07/08,First Class,DM-13525,FUR-FU-10003192,192,213.0
5440,2021/04/04,2021/04/09,Standard Class,EH-14185,OFF-BI-10004600,294,589.0
5441,2022/11/13,2022/11/18,Second Class,TC-21295,OFF-AR-10002335,2,2.0
5442,2022/09/09,2022/09/13,Standard Class,AI-10855,OFF-PA-10000859,6,6.0
5443,2020/04/17,2020/04/23,Standard Class,JM-15535,TEC-AC-10003198,90,100.0
5444,2020/04/17,2020/04/23,Standard Class,JM-15535,OFF-BI-10001900,37,62.0
5445,2020/04/17,2020/04/23,Standard Class,JM-15535,OFF-AR-10000614,8,11.0
5446,2021/07/25,2021/07/29,Standard Class,BE-11335,OFF-EN-10003040,15,21.0
5447,2021/08/26,2021/08/31,Standard Class,DR-12880,TEC-PH-10003442,30,33.0
5448,2021/08/26,2021/08/31,Standard Class,DR-12880,TEC-AC-10002800,175,250.0
5449,2019/09/12,2019/09/19,Standard Class,TA-21385,OFF-SU-10000157,179,358.0
5450,2019/09/12,2019/09/19,Standard Class,TA-21385,TEC-AC-10001542,46,57.0
5451,2019/09/12,2019/09/19,Standard Class,TA-21385,OFF-BI-10004519,232,332.0
5452,2019/09/12,2019/09/19,Standard Class,TA-21385,FUR-FU-10003464,37,41.0
5453,2021/07/22,2021/07/29,Standard Class,KN-16705,OFF-SU-10004261,78,86.0
5454,2022/05/19,2022/05/23,Standard Class,PJ-18835,OFF-PA-10004733,19,38.0
5455,2022/04/28,2022/05/02,Standard Class,MC-17605,OFF-ST-10001325,7,8.0
5456,2022/04/28,2022/05/02,Standard Class,MC-17605,OFF-AR-10003056,4,7.0
5457,2022/12/29,2023/01/02,Standard Class,BS-11755,OFF-FA-10000089,10,20.0
5458,2022/12/29,2023/01/02,Standard Class,BS-11755,FUR-FU-10004093,34,68.0
5459,2022/09/04,2022/09/06,Second Class,PK-19075,OFF-BI-10004022,8,13.0
5460,2022/09/04,2022/09/06,Second Class,PK-19075,FUR-TA-10001771,887,1478.0
5461,2019/03/21,2019/03/25,Standard Class,TS-21205,OFF-ST-10002301,8,16.0
5462,2022/09/28,2022/10/04,Standard Class,BD-11725,FUR-FU-10001706,6,9.0
5463,2019/01/19,2019/01/20,First Class,TS-21340,OFF-BI-10003676,16,32.0
5464,2019/01/19,2019/01/20,First Class,TS-21340,OFF-PA-10000659,39,56.0
5465,2019/01/19,2019/01/20,First Class,TS-21340,OFF-EN-10002504,87,109.0
5466,2019/01/19,2019/01/20,First Class,TS-21340,FUR-BO-10001972,163,181.0
5467,2019/02/14,2019/02/19,Second Class,ST-20530,OFF-PA-10000466,11,16.0
5468,2021/06/09,2021/06/14,Standard Class,DB-13210,FUR-CH-10002774,61,122.0
5469,2019/09/26,2019/09/27,First Class,KF-16285,FUR-CH-10000454,527,586.0
5470,2019/09/26,2019/09/27,First Class,KF-16285,OFF-PA-10004888,12,19.0
5471,2021/05/30,2021/06/04,Standard Class,JM-16195,OFF-AP-10003842,112,124.0
5472,2022/12/19,2022/12/23,Standard Class,TS-21505,FUR-FU-10000320,8,13.0
5473,2022/12/19,2022/12/23,Standard Class,TS-21505,OFF-ST-10002554,63,78.0
5474,2022/12/19,2022/12/23,Standard Class,TS-21505,FUR-BO-10000468,82,102.0
5475,2022/12/26,2022/12/26,Same Day,YC-21895,OFF-ST-10004459,375,751.0
5476,2022/06/15,2022/06/18,First Class,Dp-13240,OFF-LA-10002312,31,44.0
5477,2022/06/15,2022/06/18,First Class,Dp-13240,OFF-ST-10001291,51,85.0
5478,2022/06/15,2022/06/18,First Class,Dp-13240,OFF-PA-10003022,14,18.0
5479,2021/11/20,2021/11/24,Standard Class,SJ-20500,OFF-BI-10002133,77,128.0
5480,2019/03/31,2019/04/04,Standard Class,KB-16240,OFF-BI-10001097,2,2.0
5481,2022/10/08,2022/10/14,Standard Class,CS-12250,TEC-PH-10001336,93,103.0
5482,2022/10/08,2022/10/14,Standard Class,CS-12250,TEC-AC-10002305,18,-36.0
5483,2022/10/08,2022/10/14,Standard Class,CS-12250,TEC-AC-10003610,168,240.0
5484,2022/10/08,2022/10/14,Standard Class,CS-12250,OFF-ST-10002301,24,41.0
5485,2022/01/30,2022/02/04,Standard Class,EB-13870,FUR-CH-10002044,377,419.0
5486,2019/12/12,2019/12/17,Standard Class,PB-19150,OFF-EN-10001099,12,23.0
5487,2020/10/24,2020/10/29,Standard Class,MT-18070,OFF-BI-10004140,2,4.0
5488,2022/04/01,2022/04/04,Second Class,BF-11020,TEC-PH-10004897,12,24.0
5489,2022/04/01,2022/04/04,Second Class,BF-11020,OFF-LA-10000262,5,6.0
5490,2022/04/01,2022/04/04,Second Class,BF-11020,OFF-AP-10002222,15,21.0
5491,2022/04/01,2022/04/04,Second Class,BF-11020,FUR-CH-10003774,153,218.0
5492,2022/01/26,2022/01/27,First Class,CG-12520,OFF-ST-10000615,15,18.0
5493,2019/11/28,2019/11/28,Same Day,DH-13675,OFF-SU-10001225,6,7.0
5494,2019/11/28,2019/11/28,Same Day,DH-13675,OFF-LA-10002043,21,41.0
5495,2019/11/28,2019/11/28,Same Day,DH-13675,FUR-BO-10000330,370,411.0
5496,2020/09/04,2020/09/08,Standard Class,SC-20440,OFF-BI-10001249,5,8.0
5497,2022/06/12,2022/06/16,Standard Class,HG-15025,TEC-AC-10004469,58,64.0
5498,2022/07/15,2022/07/18,Second Class,MM-18055,OFF-AR-10001177,6,7.0
5499,2022/07/15,2022/07/18,Second Class,MM-18055,OFF-LA-10000634,6,8.0
5500,2022/07/15,2022/07/18,Second Class,MM-18055,TEC-AC-10004708,38,42.0
5501,2022/07/15,2022/07/18,Second Class,MM-18055,FUR-CH-10002084,598,664.0
5502,2022/07/15,2022/07/18,Second Class,MM-18055,OFF-PA-10004519,7,9.0
5503,2022/11/02,2022/11/06,Standard Class,TH-21115,FUR-FU-10001847,3,3.0
5504,2022/11/02,2022/11/06,Standard Class,TH-21115,OFF-AP-10001962,16,20.0
5505,2022/11/02,2022/11/06,Standard Class,TH-21115,OFF-EN-10003845,6,9.0
5506,2022/11/02,2022/11/06,Standard Class,TH-21115,TEC-PH-10001817,773,859.0
5507,2021/10/08,2021/10/08,Same Day,JE-15745,OFF-PA-10000167,56,62.0
5508,2021/04/08,2021/04/14,Standard Class,PG-18820,OFF-EN-10002973,13,18.0
5509,2020/10/08,2020/10/12,Standard Class,MB-17305,FUR-FU-10001588,88,146.0
5510,2022/05/15,2022/05/20,Standard Class,JD-16015,OFF-PA-10001736,34,57.0
5511,2022/05/15,2022/05/20,Standard Class,JD-16015,TEC-PH-10002185,9,11.0
5512,2019/02/24,2019/03/02,Standard Class,JH-15430,OFF-PA-10000174,16,33.0
5513,2019/02/24,2019/03/02,Standard Class,JH-15430,OFF-PA-10000069,21,23.0
5514,2020/05/30,2020/06/01,First Class,EN-13780,TEC-PH-10001795,144,240.0
5515,2020/05/30,2020/06/01,First Class,EN-13780,OFF-AP-10004540,96,160.0
5516,2020/05/30,2020/06/01,First Class,EN-13780,TEC-PH-10001527,64,129.0
5517,2021/11/18,2021/11/21,Second Class,KC-16255,TEC-AC-10003870,1056,1320.0
5518,2022/12/04,2022/12/09,Standard Class,MS-17980,FUR-CH-10004540,216,240.0
5519,2022/12/04,2022/12/09,Standard Class,MS-17980,FUR-FU-10004093,33,55.0
5520,2022/12/04,2022/12/09,Standard Class,MS-17980,OFF-AR-10000716,12,13.0
5521,2022/12/04,2022/12/09,Standard Class,MS-17980,OFF-PA-10002709,17,24.0
5522,2022/12/04,2022/12/09,Standard Class,MS-17980,TEC-AC-10000580,179,256.0
5523,2021/06/05,2021/06/07,First Class,CK-12205,OFF-BI-10000829,13,22.0
5524,2021/06/05,2021/06/07,First Class,CK-12205,OFF-AP-10004859,47,58.0
5525,2021/12/10,2021/12/12,First Class,SJ-20125,OFF-PA-10000575,56,80.0
5526,2022/04/30,2022/05/05,Standard Class,EA-14035,OFF-AR-10002804,7,10.0
5527,2022/04/24,2022/04/28,Standard Class,MG-17890,OFF-FA-10002676,2,2.0
5528,2020/05/08,2020/05/10,First Class,AB-10255,OFF-PA-10003465,34,38.0
5529,2020/03/31,2020/04/04,Standard Class,SC-20260,TEC-PH-10000011,56,80.0
5530,2022/08/06,2022/08/11,Standard Class,TB-21355,OFF-PA-10004381,58,115.0
5531,2022/12/02,2022/12/06,Standard Class,JK-16090,TEC-PH-10001795,1488,2480.0
5532,2021/06/06,2021/06/07,First Class,CK-12595,TEC-AC-10001109,126,180.0
5533,2021/06/06,2021/06/07,First Class,CK-12595,TEC-AC-10003038,16,27.0
5534,2021/06/06,2021/06/07,First Class,CK-12595,TEC-AC-10003174,259,323.0
5535,2021/06/06,2021/06/07,First Class,CK-12595,OFF-PA-10000157,42,60.0
5536,2021/06/06,2021/06/07,First Class,CK-12595,OFF-BI-10001721,51,64.0
5537,2021/06/06,2021/06/07,First Class,CK-12595,OFF-BI-10000591,8,12.0
5538,2021/06/06,2021/06/07,First Class,CK-12595,OFF-PA-10001534,9,13.0
5539,2020/04/13,2020/04/20,Standard Class,SS-20590,OFF-BI-10002071,12,17.0
5540,2022/05/22,2022/05/26,Standard Class,LE-16810,FUR-CH-10000513,109,182.0
5541,2022/05/22,2022/05/26,Standard Class,LE-16810,OFF-BI-10003274,1,2.0
5542,2022/05/22,2022/05/26,Standard Class,LE-16810,OFF-SU-10000381,18,22.0
5543,2021/12/19,2021/12/25,Standard Class,ES-14080,FUR-TA-10001086,228,456.0
5544,2021/12/19,2021/12/25,Standard Class,ES-14080,OFF-BI-10000174,5,10.0
5545,2021/12/19,2021/12/25,Standard Class,ES-14080,OFF-BI-10002103,3,5.0
5546,2022/09/22,2022/09/26,Standard Class,MG-17890,OFF-ST-10001590,61,67.0
5547,2022/09/07,2022/09/08,First Class,JM-16195,FUR-FU-10002396,20,25.0
5548,2022/09/07,2022/09/08,First Class,JM-16195,TEC-PH-10002807,63,127.0
5549,2019/11/28,2019/12/01,First Class,SG-20470,OFF-AP-10004859,35,44.0
5550,2019/11/28,2019/12/01,First Class,SG-20470,TEC-AC-10003447,70,140.0
5551,2019/11/12,2019/11/16,Standard Class,DB-12970,OFF-AR-10003183,1,3.0
5552,2019/11/12,2019/11/16,Standard Class,DB-12970,OFF-SU-10000432,12,17.0
5553,2019/11/12,2019/11/16,Standard Class,DB-12970,TEC-AC-10003832,40,80.0
5554,2019/11/12,2019/11/16,Standard Class,DB-12970,OFF-PA-10004100,33,36.0
5555,2019/11/12,2019/11/16,Standard Class,DB-12970,FUR-BO-10004467,61,68.0
5556,2022/10/02,2022/10/06,Second Class,JW-15220,FUR-FU-10002963,8,10.0
5557,2020/12/14,2020/12/18,Standard Class,KD-16495,FUR-FU-10003829,5,6.0
5558,2020/12/14,2020/12/18,Standard Class,KD-16495,OFF-AR-10003582,45,56.0
5559,2020/12/06,2020/12/10,Standard Class,IL-15100,OFF-PA-10000048,3,6.0
5560,2020/12/06,2020/12/10,Standard Class,IL-15100,OFF-ST-10000078,796,1326.0
5561,2020/12/06,2020/12/10,Standard Class,IL-15100,OFF-LA-10004853,9,15.0
5562,2022/03/31,2022/04/02,Second Class,JE-15610,OFF-BI-10001153,17,35.0
5563,2022/03/31,2022/04/02,Second Class,JE-15610,TEC-CO-10001449,2100,3000.0
5564,2022/03/31,2022/04/02,Second Class,JE-15610,OFF-BI-10000474,32,64.0
5565,2022/03/13,2022/03/13,Same Day,SU-20665,OFF-AR-10000799,18,19.0
5566,2022/03/13,2022/03/13,Same Day,SU-20665,TEC-MA-10002109,126,210.0
5568,2022/03/13,2022/03/13,Same Day,SU-20665,FUR-CH-10003606,45,90.0
5569,2022/03/13,2022/03/13,Same Day,SU-20665,TEC-CO-10001449,768,960.0
5570,2022/03/13,2022/03/13,Same Day,SU-20665,OFF-PA-10001934,12,16.0
5571,2022/03/13,2022/03/13,Same Day,SU-20665,TEC-PH-10001527,21,34.0
5572,2019/12/05,2019/12/09,Standard Class,EA-14035,OFF-PA-10001033,79,98.0
5573,2019/12/05,2019/12/09,Standard Class,EA-14035,OFF-BI-10003719,24,30.0
5574,2019/12/05,2019/12/09,Standard Class,EA-14035,OFF-PA-10003036,14,17.0
5575,2019/12/05,2019/12/09,Standard Class,EA-14035,TEC-PH-10001870,29,37.0
5576,2019/12/05,2019/12/09,Standard Class,EA-14035,TEC-PH-10001809,162,180.0
5577,2021/12/12,2021/12/16,Standard Class,RF-19840,FUR-FU-10004864,307,384.0
5578,2021/12/12,2021/12/16,Standard Class,RF-19840,OFF-AP-10002350,45,57.0
